Club,Games Won,Games Drawn,Games Lost,Goals Scored,Goals Conceded
Manchester City FC,27,5,6,83,32
Manchester United FC,21,11,6,73,44
Liverpool FC,20,9,9,68,42
Leicester City FC,20,6,12,68,50
West Ham United FC,19,8,11,62,47
Chelsea FC,19,10,9,58,36
Arsenal FC,18,7,13,55,39
Leeds United FC,18,5,15,62,54
Tottenham Hotspur FC,18,8,12,68,45
Everton FC,17,8,13,47,48
Aston Villa FC,16,7,15,55,46
Crystal Palace FC,12,8,18,41,66
Southampton FC,12,7,19,47,68
Newcastle United FC,12,9,17,46,62
Wolverhampton Wanderers FC,12,9,17,36,52
Burnley FC,10,9,19,33,55
Brighton & Hove Albion FC,9,14,15,40,46
Sheffield United FC,7,2,29,20,63
Fulham FC,5,13,20,27,53
West Bromwich Albion FC,5,11,22,35,76
